division,title_fight,method,finish_round,match_time_sec,total_rounds,r_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner
welterweight,0,Decision - Split,3,300,3,Bojan Velickovic,15,6,1,182.88,77.11,193.04,Southpaw,1988-12-18,2.18,34,2.31,57,0.67,25,55,0.5,Sultan Aliev,15,3,0,180.34,77.11,187.96,Orthodox,1984-09-17,1.41,45,2.2,56,1.76,38,100,0,Sultan Aliev
welterweight,0,KO/TKO,1,245,3,Jake Ellenberger,31,15,0,175.26,77.11,180.34,Orthodox,1985-03-28,2.47,39,2.83,60,2.04,47,86,0.4,Jorge Masvidal,35,17,0,180.34,77.11,187.96,Orthodox,1984-11-12,4.05,47,3.05,64,1.38,59,72,0.3,Jorge Masvidal
flyweight,0,Decision - Split,3,300,3,Joseph Benavidez,28,8,0,162.56,56.7,165.1,Southpaw,1984-07-31,3.52,34,2.67,61,1.41,30,62,0.6,Henry Cejudo,16,5,0,162.56,61.23,162.56,Orthodox,1987-02-09,3.82,47,3.46,59,1.84,31,76,0.1,Joseph Benavidez
women's bantamweight,0,Submission,2,172,3,Sara McMann,13,6,0,167.64,61.23,167.64,Orthodox,1980-09-24,2.26,46,1.92,47,4.38,65,50,0.5,Alexis Davis,21,11,0,167.64,61.23,172.72,Orthodox,1984-10-04,4.63,49,4.45,54,0.95,44,34,0.7,Sara McMann
flyweight,0,Decision - Split,3,300,3,Brandon Moreno,23,8,2,170.18,56.7,177.8,Orthodox,1993-12-07,3.96,44,3.62,60,1.51,44,64,0.4,Ryan Benoit,10,8,0,165.1,56.7,172.72,Orthodox,1989-08-25,2.88,39,3.65,58,0.28,22,72,0.4,Brandon Moreno
featherweight,0,Decision - Unanimous,3,300,3,Gray Maynard,13,7,1,175.26,70.31,177.8,Orthodox,1979-05-09,1.92,32,2.64,66,2.91,47,81,0.7,Ryan Hall,9,2,0,177.8,65.77,177.8,Southpaw,1985-02-22,2.38,50,1.33,65,0.22,9,0,2.2,Ryan Hall
women's strawweight,0,Decision - Unanimous,3,300,3,Kailin Curran,4,5,0,162.56,52.16,165.1,Orthodox,1991-04-11,3.89,43,4.75,53,2,57,61,0.6,Jamie Moyle,4,3,0,154.94,52.16,165.1,Orthodox,1989-03-17,4.51,51,4,65,1,21,50,0,Jamie Moyle
lightweight,0,Decision - Unanimous,3,300,3,Dong Hyun Ma,16,11,3,180.34,70.31,177.8,Orthodox,1988-09-09,2.84,41,4.1,54,1.27,53,33,0,Brendan O'Reilly,6,3,0,170.18,77.11,175.26,Orthodox,1987-06-24,1.9,47,2.77,39,2.22,43,36,0.6,Dong Hyun Ma
bantamweight,0,KO/TKO,1,227,3,Rob Font,22,8,0,172.72,61.23,180.34,Orthodox,1987-06-25,5.49,46,3.67,57,0.79,34,42,0.4,Matt Schnell,17,9,0,172.72,56.7,177.8,Orthodox,1990-01-15,4.13,40,4.17,55,0.49,40,43,1.2,Rob Font
middleweight,0,KO/TKO,1,277,5,Gegard Mousasi,42,6,2,187.96,83.91,193.04,Orthodox,1985-08-01,3.75,50,1.21,68,1.59,60,59,1.1,Uriah Hall,18,11,0,182.88,83.91,200.66,Orthodox,1984-07-31,3.23,48,3.85,54,0.54,38,64,0.1,Gegard Mousasi
light heavyweight,0,Decision - Unanimous,3,300,3,Josh Stansbury,4,8,0,187.96,92.99,187.96,Orthodox,1984-11-19,3.22,54,3.54,54,0,0,87,1,Devin Clark,14,9,0,182.88,92.99,190.5,Orthodox,1990-04-12,3.03,54,3.24,44,2.17,32,58,0.1,Devin Clark
lightweight,0,Decision - Split,3,300,3,Ross Pearson,20,16,0,172.72,70.31,175.26,Orthodox,1984-09-26,3.68,40,4.09,62,0.74,35,75,0,Stevie Ray,23,9,0,177.8,70.31,177.8,Southpaw,1990-03-25,3.73,44,2.93,54,0.75,46,55,0.6,Stevie Ray
heavyweight,0,Decision - Split,3,300,3,Timothy Johnson,12,4,0,190.5,120.2,195.58,Southpaw,1985-03-13,3.43,45,3.08,44,1.09,24,69,0,Alexander Volkov,38,11,0,200.66,113.4,203.2,Orthodox,1988-10-24,4.97,57,2.99,54,0.61,66,72,0.2,Alexander Volkov
middleweight,0,KO/TKO,2,207,3,Elvis Mutapcic,15,6,1,182.88,83.91,182.88,Orthodox,1986-07-19,3.41,40,4.27,38,0,0,81,0,Anthony Smith,38,22,0,193.04,92.99,193.04,Orthodox,1988-07-26,3.19,49,5.04,44,0.44,22,50,0.6,Anthony Smith
featherweight,0,Decision - Unanimous,3,300,3,Artem Lobov,13,15,1,175.26,65.77,165.1,Southpaw,1986-08-11,3.52,41,4.82,50,0.39,25,52,0,Teruto Ishihara,10,7,2,170.18,61.23,175.26,Southpaw,1991-07-23,3.26,44,3.63,53,0.5,16,30,0,Artem Lobov
lightweight,0,Submission,2,271,3,Kevin Lee,18,8,0,175.26,77.11,195.58,Orthodox,1992-09-04,3.88,42,3.6,50,3.18,43,75,0.8,Magomed Mustafaev,14,4,0,172.72,70.31,180.34,Orthodox,1988-08-02,2.59,58,2.68,41,3.31,50,23,0.4,Kevin Lee
middleweight,0,KO/TKO,2,220,3,Magnus Cedenblad,14,5,0,195.58,83.91,200.66,Orthodox,1982-04-10,2.38,51,3.02,40,2.87,64,66,1,Jack Marshman,23,10,0,182.88,83.91,185.42,Orthodox,1989-12-19,2.74,25,4.19,56,0,0,20,0,Jack Marshman
flyweight,0,Decision - Unanimous,3,300,3,Kyoji Horiguchi,19,2,0,165.1,56.7,167.64,Orthodox,1990-10-12,3.6,45,2.45,62,2,44,55,0,Ali Bagautinov,15,6,0,162.56,56.7,165.1,Orthodox,1985-06-10,2.85,42,3.09,52,2.51,36,65,0.3,Kyoji Horiguchi
welterweight,0,Submission,2,242,3,Zak Cummings,25,7,0,182.88,92.99,190.5,Southpaw,1984-08-02,2.96,35,2.91,55,0.62,28,66,0.6,Alexander Yakovlev,24,10,1,190.5,70.31,187.96,Southpaw,1984-07-18,1.74,47,2.41,58,1.66,35,72,0.1,Zak Cummings
women's strawweight,0,Decision - Unanimous,3,300,3,Anna Elmose,3,2,0,160.02,52.16,,Orthodox,1984-10-06,3.68,49,4.64,56,0,0,33,0,Amanda Cooper,3,5,0,160.02,52.16,162.56,Switch,1991-10-22,3.55,44,3.2,51,1.53,38,28,1.8,Amanda Cooper
welterweight,0,KO/TKO,1,53,3,Charlie Ward,3,3,0,180.34,77.11,,Orthodox,1980-12-17,1.64,19,7.21,53,0,0,0,0,Abdul Razak Alhassan,12,7,0,177.8,83.91,185.42,Orthodox,1985-08-11,3.64,49,4.01,54,0.84,33,51,0.2,Abdul Razak Alhassan
women's bantamweight,0,KO/TKO,3,183,3,Marion Reneau,9,8,1,167.64,61.23,172.72,Orthodox,1977-06-20,3.2,41,3.52,59,0.62,63,50,0.8,Milana Dudieva,11,6,0,160.02,61.23,,Orthodox,1989-08-04,0.87,31,3.43,58,2.34,45,0,0,Marion Reneau
bantamweight,0,Decision - Unanimous,3,300,3,Brett Johns,17,2,0,170.18,61.23,180.34,Orthodox,1992-02-21,2.86,49,3.84,53,4.92,49,58,1,Kwan Ho Kwak,9,2,0,165.1,61.23,,Switch,1989-06-18,3.29,41,3.45,47,0.78,100,26,0,Brett Johns
bantamweight,0,KO/TKO,2,97,3,Thomas Almeida,22,5,0,170.18,65.77,177.8,Southpaw,1991-07-31,4.84,43,4.93,61,0.17,14,75,0,Albert Morales,7,4,1,175.26,61.23,182.88,Orthodox,1991-05-25,3.81,35,3.96,56,0.91,35,70,0.2,Thomas Almeida
middleweight,0,Decision - Unanimous,3,300,3,Thales Leites,28,9,0,185.42,83.91,198.12,Orthodox,1981-09-06,2.13,40,2.99,52,2.1,27,30,1.1,Krzysztof Jotko,24,6,0,185.42,83.91,195.58,Southpaw,1989-08-19,2.98,42,2.23,57,1.33,39,82,0.1,Krzysztof Jotko
light heavyweight,0,KO/TKO,3,231,5,Ryan Bader,23,5,0,187.96,92.99,187.96,Orthodox,1983-06-07,2.82,43,1.39,71,3.37,44,80,0.4,Rogerio Nogueira,23,10,0,187.96,92.99,190.5,Southpaw,1976-06-02,2.43,35,2.34,59,0.64,44,62,0.8,Ryan Bader
women's strawweight,0,Decision - Unanimous,3,300,3,Claudia Gadelha,18,5,0,162.56,52.16,160.02,Orthodox,1988-12-07,3.31,41,4.57,57,3.03,42,58,0.7,Cortney Casey,10,10,0,170.18,56.7,170.18,Orthodox,1987-05-05,4.29,39,4,55,0.39,31,39,0.5,Claudia Gadelha
light heavyweight,0,Submission,1,67,3,Marcos Rogerio de Lima,22,10,1,185.42,114.76,190.5,Orthodox,1985-06-25,3.7,57,2.9,51,1.4,45,59,0.5,Gadzhimurad Antigulov,20,8,0,180.34,92.99,177.8,Orthodox,1987-02-09,2.08,55,4.21,40,5.08,36,0,1.4,Gadzhimurad Antigulov
middleweight,0,Submission,2,131,3,Cezar Ferreira,13,8,0,185.42,83.91,198.12,Southpaw,1985-02-15,1.9,42,2.44,53,2.69,53,84,0.5,Jack Hermansson,24,9,0,185.42,83.91,195.58,Orthodox,1988-06-10,5.13,45,3.7,57,1.5,29,80,0.4,Cezar Ferreira
welterweight,0,Decision - Unanimous,3,300,3,Warlley Alves,15,8,0,180.34,83.91,182.88,Orthodox,1991-01-04,3.04,48,3.95,50,1.22,50,62,0.8,Kamaru Usman,21,4,0,182.88,77.11,193.04,Switch,1987-05-11,4.16,51,2.67,55,2.79,44,89,0.1,Kamaru Usman
welterweight,0,Decision - Split,3,300,3,Sergio Moraes,14,6,1,182.88,77.11,182.88,Orthodox,1982-07-23,2.42,42,3.73,59,1.2,38,75,0.4,Zak Ottow,17,7,0,180.34,77.11,182.88,Orthodox,1986-12-22,2.63,36,2.73,58,0.97,29,57,0.4,Sergio Moraes
heavyweight,0,Submission,3,132,3,Luis Henrique,10,5,0,187.96,110.22,187.96,Orthodox,1993-08-21,1.81,43,2.22,47,3.09,36,50,1,Christian Colombo,8,3,1,195.58,120.2,,Orthodox,1980-07-01,2.76,44,4.02,42,0,0,33,0,Luis Henrique
bantamweight,0,KO/TKO,2,46,3,Johnny Eduardo,28,13,0,170.18,61.23,180.34,Orthodox,1978-08-03,2.95,39,3.22,63,0.22,20,58,0.4,Manvel Gamburyan,15,10,0,165.1,61.23,170.18,Orthodox,1981-05-08,2.13,41,2.83,55,3.26,34,69,0.7,Johnny Eduardo
heavyweight,0,Submission,1,136,3,Justin Ledet,9,4,0,193.04,92.99,203.2,Orthodox,1988-09-28,3.35,39,4.82,49,0.23,50,42,0.2,Mark Godbeer,13,4,0,193.04,108.86,195.58,Orthodox,1983-11-22,3.97,53,3.3,54,0,0,28,0,Justin Ledet
light heavyweight,0,Overturned,1,94,3,Francimar Barroso,19,7,0,185.42,92.99,190.5,Orthodox,1980-02-28,2.77,52,3.07,59,2.22,24,83,0,Darren Stewart,12,8,0,182.88,92.99,187.96,Orthodox,1990-12-30,3.05,45,3.29,48,1.75,45,67,0.1,
middleweight,0,KO/TKO,1,247,5,Robert Whittaker,27,8,0,182.88,83.91,185.42,Orthodox,1990-12-20,4.54,43,3.41,59,0.8,38,81,0,Derek Brunson,23,9,0,185.42,83.91,195.58,Southpaw,1984-01-04,3.51,47,3.05,51,3.14,33,85,0.6,Robert Whittaker
bantamweight,0,Submission,2,115,3,Pedro Munhoz,20,10,0,167.64,61.23,165.1,Orthodox,1986-09-07,5.38,41,6.29,55,0.48,16,82,0.5,Justin Scoggins,11,5,0,170.18,56.7,167.64,Southpaw,1992-05-02,3.56,51,2.16,55,3.42,63,82,0.5,Pedro Munhoz
light heavyweight,0,Submission,1,247,3,Khalil Rountree Jr.,15,6,0,185.42,92.99,193.04,Southpaw,1990-02-26,3.79,40,4.24,49,0,0,58,0.1,Tyson Pedro,10,5,0,190.5,92.99,200.66,Orthodox,1991-09-17,2.9,59,2.39,56,0.76,30,50,0.8,Tyson Pedro
welterweight,0,Decision - Unanimous,3,300,3,Kyle Noke,22,10,1,185.42,77.11,193.04,Southpaw,1980-03-18,3.23,50,2.09,64,1.53,54,66,0.8,Omari Akhmedov,21,6,1,182.88,83.91,185.42,Orthodox,1987-10-12,2.97,34,2.84,55,2.58,45,65,0.2,Omari Akhmedov
lightweight,0,KO/TKO,2,126,3,Yusuke Kasuya,9,3,0,170.18,70.31,,Southpaw,1989-11-16,2.17,44,4.34,48,1.36,33,0,0,Alexander Volkanovski,27,4,0,167.64,65.77,180.34,Orthodox,1988-09-29,6.18,56,3.36,58,1.67,34,70,0.2,Alexander Volkanovski
lightweight,0,Decision - Split,3,300,3,Jake Matthews,22,7,0,180.34,77.11,185.42,Orthodox,1994-08-19,3.44,43,2.63,60,1.51,42,67,0.6,Andrew Holbrook,12,3,0,180.34,70.31,177.8,Southpaw,1986-02-06,2.2,49,3,54,0.85,18,10,2.1,Andrew Holbrook
women's strawweight,0,Decision - Split,3,300,3,Seo Hee Ham,17,8,0,157.48,52.16,157.48,Southpaw,1987-03-08,4.2,39,5.15,61,0,0,66,0.2,Danielle Taylor,9,4,0,152.4,52.16,152.4,Orthodox,1989-10-25,2.75,29,3.31,71,0.2,20,70,0.2,Danielle Taylor
lightweight,0,Decision - Split,3,300,3,Damien Brown,17,12,0,177.8,70.31,172.72,Orthodox,1984-12-25,3.66,38,4.86,50,0.68,27,53,0.7,Jon Tuck,10,5,0,180.34,70.31,185.42,Orthodox,1984-08-28,3,40,3.74,60,0.42,33,50,1,Damien Brown
middleweight,0,Decision - Unanimous,3,300,3,Daniel Kelly,13,4,0,182.88,83.91,177.8,Southpaw,1977-10-31,3.62,38,4.64,61,1.86,34,78,0.3,Chris Camozzi,24,13,0,187.96,83.91,190.5,Orthodox,1986-11-20,3.57,44,2.96,56,0.27,19,57,0.5,Daniel Kelly
flyweight,0,Decision - Unanimous,3,300,3,Ben Nguyen,16,8,0,165.1,56.7,165.1,Switch,1988-08-03,3.51,40,3.01,59,0.25,33,63,1,Geane Herrera,9,3,0,165.1,56.7,167.64,Orthodox,1990-05-27,1.51,31,5.07,52,0.83,37,38,0.6,Ben Nguyen
welterweight,0,Decision - Unanimous,3,300,3,Richard Walsh,9,5,0,182.88,77.11,185.42,Orthodox,1988-12-01,3.84,46,2.72,58,1.55,40,66,0.2,Jonathan Meunier,8,1,0,190.5,77.11,,Switch,1987-08-04,3.47,50,1.43,69,0.58,33,58,0,Jonathan Meunier
flyweight,0,Decision - Unanimous,3,300,3,Yao Zhikui,2,4,0,165.1,56.7,162.56,Orthodox,1991-02-07,1.44,21,2.82,48,0.66,16,58,0,Jenel Lausa,7,5,0,165.1,56.7,172.72,Orthodox,1988-08-01,1.44,42,3.53,53,0.55,66,51,0.8,Jenel Lausa
heavyweight,0,KO/TKO,4,222,5,Derrick Lewis,29,12,0,190.5,117.93,200.66,Orthodox,1985-02-07,2.51,50,2.49,40,0.56,26,52,0,Shamil Abdurakhimov,20,8,0,190.5,106.59,193.04,Orthodox,1981-09-02,2.41,44,3.02,55,1.01,23,45,0.1,Derrick Lewis
featherweight,0,Decision - Unanimous,3,300,3,Marlon Vera,23,10,1,172.72,61.23,177.8,Switch,1992-12-02,4.27,49,5.37,50,0.51,39,72,0.8,Guangyou Ning,5,4,1,162.56,65.77,162.56,Southpaw,1981-12-15,2.66,41,1.91,61,1.09,50,62,0.3,Marlon Vera
heavyweight,0,Submission,1,117,3,Francis Ngannou,17,3,0,193.04,113.4,210.82,Orthodox,1986-09-05,2.33,41,2.16,41,0.76,62,71,0.3,Anthony Hamilton,15,9,0,195.58,117.93,193.04,Orthodox,1980-04-14,3.91,65,3.02,45,2.62,42,78,0,Francis Ngannou
featherweight,0,Decision - Unanimous,3,300,3,Dan Hooker,24,12,0,182.88,70.31,190.5,Switch,1990-02-13,5.03,48,4.72,51,0.73,34,78,0.3,Jason Knight,20,5,0,177.8,65.77,180.34,Orthodox,1992-07-14,2.95,33,3.02,51,1.31,31,47,1.7,Jason Knight
light heavyweight,0,KO/TKO,2,156,3,Corey Anderson,14,5,0,190.5,92.99,200.66,Orthodox,1989-09-22,4.43,46,2.22,59,4.89,50,83,0,Sean O'Connell,17,9,0,185.42,92.99,187.96,Orthodox,1983-09-02,5.46,48,6.77,45,0,0,30,0.5,Corey Anderson
women's strawweight,0,Decision - Unanimous,3,300,3,Justine Kish,7,4,0,165.1,56.7,162.56,Orthodox,1988-04-13,4.51,48,4.59,57,0.87,33,50,0.1,Ashley Yoder,8,9,0,170.18,52.16,175.26,Southpaw,1987-10-20,3.42,39,4.13,47,1.09,27,66,0.6,Justine Kish
light heavyweight,0,KO/TKO,2,174,3,Gian Villante,17,14,0,190.5,104.33,193.04,Orthodox,1985-08-18,4.38,44,5.47,55,0.45,23,83,0,Saparbeg Safarov,9,3,0,185.42,83.91,198.12,Orthodox,1986-10-14,4.03,48,2.96,47,2.52,41,33,0,Gian Villante
welterweight,0,KO/TKO,2,85,3,Randy Brown,20,6,0,190.5,77.11,198.12,Orthodox,1990-07-08,4.47,47,3.26,54,0.79,39,73,0.6,Brian Camozzi,7,5,0,187.96,77.11,198.12,Orthodox,1991-06-24,3.15,26,6.39,54,0,0,0,0.7,Randy Brown
middleweight,0,Decision - Unanimous,3,300,3,Andrew Sanchez,13,7,0,185.42,83.91,187.96,Orthodox,1988-04-08,4.3,43,5.1,50,2.55,36,100,0,Trevor Smith,15,10,0,190.5,83.91,190.5,Orthodox,1981-01-05,3.29,55,3.31,51,1.7,32,60,0.7,Andrew Sanchez
lightweight,0,Decision - Unanimous,3,300,3,Frankie Perez,10,4,0,180.34,70.31,185.42,Orthodox,1989-05-11,1.64,41,2.17,54,1.75,41,50,0.3,Marc Diakiese,17,7,0,177.8,70.31,185.42,Orthodox,1993-03-16,2.54,40,2.64,52,3.29,43,66,0,Marc Diakiese
middleweight,0,Submission,1,252,3,Joseph Gigliotti,7,2,0,180.34,83.91,,Orthodox,1993-08-13,1.04,39,2.92,45,1.56,100,50,0.8,Gerald Meerschaert,37,19,0,185.42,83.91,195.58,Southpaw,1987-12-18,3.05,45,3.43,53,1.86,31,42,1.4,Gerald Meerschaert
women's strawweight,0,Decision - Unanimous,3,300,3,Juliana Lima,9,5,0,165.1,52.16,165.1,Orthodox,1982-03-15,1.94,44,2.11,55,1.72,31,70,0,JJ Aldrich,14,7,0,165.1,56.7,170.18,Southpaw,1992-09-29,3.96,47,4.32,61,0.75,26,67,0,Juliana Lima
featherweight,0,Decision - Unanimous,3,300,3,Tiago dos Santos e Silva,20,7,2,175.26,65.77,177.8,Orthodox,1987-04-12,3.69,35,4.23,59,0.63,11,33,0.3,Shane Burgos,15,3,0,180.34,65.77,190.5,Orthodox,1991-03-19,7.4,52,6.78,56,0.43,44,91,0.4,Shane Burgos
middleweight,0,Decision - Unanimous,3,300,3,Keith Berish,5,1,0,182.88,92.99,,Orthodox,1985-11-14,3.58,36,4.81,62,1.76,40,0,0,Ryan Janes,10,3,0,190.5,83.91,193.04,Orthodox,1981-08-22,7.69,48,5.53,59,0.35,100,58,0,Ryan Janes
lightweight,0,Decision - Unanimous,3,300,3,Diego Sanchez,31,13,0,177.8,77.11,182.88,Southpaw,1981-12-31,2.69,37,3.02,56,1.51,24,46,0.8,Marcin Held,23,7,0,175.26,70.31,180.34,Orthodox,1992-01-18,1.41,34,2.02,47,2.46,46,37,1.3,Diego Sanchez
featherweight,0,Submission,2,133,3,Ricardo Lamas,20,8,0,172.72,65.77,180.34,Orthodox,1982-05-21,3.13,47,2.87,57,1.84,33,46,0.9,Charles Oliveira,35,11,0,177.8,70.31,187.96,Orthodox,1989-10-17,3.41,55,3.26,48,2.23,39,56,2.6,Ricardo Lamas
lightweight,0,Decision - Unanimous,3,300,3,Beneil Dariush,23,6,1,177.8,70.31,182.88,Southpaw,1989-05-06,3.78,49,2.61,57,2.12,38,82,0.8,Rashid Magomedov,20,2,0,175.26,70.31,177.8,Orthodox,1984-11-29,4.4,49,3.05,54,0.67,57,89,0.2,Beneil Dariush
lightweight,0,Decision - Unanimous,5,300,5,Rafael Dos Anjos,32,17,0,172.72,77.11,177.8,Southpaw,1984-10-26,3.48,47,3.23,60,1.95,35,54,0.6,Tony Ferguson,26,11,0,180.34,77.11,193.04,Orthodox,1984-02-12,4.91,45,4.37,55,0.39,35,66,0.9,Tony Ferguson
ultimate fighter latin america 3 lightweight tournament,1,KO/TKO,2,115,3,Martin Bravo,11,3,0,172.72,65.77,180.34,Southpaw,1993-09-21,7.66,39,5.72,51,2.6,35,85,0,Claudio Puelles,13,4,0,177.8,70.31,182.88,Southpaw,1996-04-21,1.56,49,2.78,46,3.17,36,60,1.2,Martin Bravo
catch weight,0,Submission,1,97,3,Marco Beltran,8,6,0,172.72,56.7,175.26,Orthodox,1986-05-18,2.07,37,1.93,63,0.7,50,46,0.2,Joe Soto,18,7,0,167.64,61.23,165.1,Orthodox,1987-03-22,3.36,41,5.37,67,0.85,21,70,1.9,Joe Soto
women's strawweight,0,Decision - Unanimous,3,300,3,Alexa Grasso,16,5,1,165.1,56.7,167.64,Orthodox,1993-08-09,4.11,41,3.73,58,0.41,35,54,0.6,Heather Clark,7,6,0,167.64,52.16,162.56,Orthodox,1980-09-19,3.69,49,5.62,50,0.33,4,80,0.3,Alexa Grasso
bantamweight,0,Decision - Split,3,300,3,Erik Perez,17,6,0,172.72,61.23,172.72,Orthodox,1989-11-19,3.16,40,2.09,66,3.16,55,69,0.2,Felipe Arantes,18,10,1,172.72,61.23,185.42,Orthodox,1988-02-09,2.37,45,2.66,64,0.93,47,41,0.7,Erik Perez
bantamweight,0,KO/TKO,3,153,3,Henry Briones,16,8,1,172.72,61.23,175.26,Orthodox,1980-10-22,3.47,42,4.68,53,0,0,52,0.6,Douglas Silva de Andrade,29,6,0,170.18,61.23,172.72,Orthodox,1985-06-22,3.54,38,3.93,57,0.55,42,72,0.2,Douglas Silva de Andrade
welterweight,0,KO/TKO,1,54,3,Erick Montano,7,5,0,182.88,77.11,185.42,Orthodox,1985-11-19,2.79,44,2.06,64,2.29,36,66,0,Max Griffin,20,12,0,180.34,77.11,193.04,Orthodox,1985-11-29,3.76,47,3.7,58,1.28,40,70,0.3,Max Griffin
lightweight,0,Decision - Split,3,300,3,Marco Polo Reyes,8,7,0,180.34,70.31,180.34,Orthodox,1984-11-07,6,37,5.52,59,0,0,46,0,Jason Novelli,11,3,1,182.88,70.31,,Orthodox,1979-06-08,1.73,24,3.55,66,0.7,33,100,0,Marco Polo Reyes
middleweight,0,Decision - Unanimous,3,300,3,Sam Alvey,33,18,1,187.96,83.91,190.5,Southpaw,1986-05-06,3.28,44,3.63,52,0.06,14,82,0.1,Alex Nicholson,7,4,0,193.04,83.91,195.58,Orthodox,1990-05-02,4.12,43,4.65,47,0,0,50,0.5,Sam Alvey
lightweight,1,KO/TKO,2,184,5,Eddie Alvarez,29,6,0,175.26,70.31,175.26,Orthodox,1984-01-11,4.32,41,4.39,55,2.92,36,92,0.5,Conor McGregor,22,6,0,175.26,70.31,187.96,Southpaw,1988-07-14,5.32,49,4.66,54,0.67,55,66,0.1,Conor McGregor
middleweight,0,KO/TKO,3,24,3,Chris Weidman,16,8,0,187.96,83.91,198.12,Orthodox,1984-06-17,3.11,45,3.37,51,3.27,42,72,0.8,Yoel Romero,13,5,0,182.88,83.91,185.42,Southpaw,1977-04-30,3.44,49,3.05,60,1.57,30,78,0,Yoel Romero
women's bantamweight,0,Decision - Unanimous,3,300,3,Miesha Tate,20,10,0,167.64,61.23,165.1,Orthodox,1986-08-18,2.62,44,3.05,51,1.97,30,56,1.2,Raquel Pennington,16,10,0,170.18,61.23,170.18,Orthodox,1988-09-05,4.1,49,3.32,61,0.83,27,62,0.6,Raquel Pennington
featherweight,0,Decision - Unanimous,3,300,3,Enrique Barzola,17,5,2,170.18,65.77,177.8,Orthodox,1989-04-28,3.91,41,2.97,68,4.2,45,66,0.3,Chris Avila,5,4,0,177.8,65.77,,Orthodox,1993-01-16,2.37,30,4.17,48,0,0,46,0,Enrique Barzola
welterweight,1,Decision - Majority,5,300,5,Tyron Woodley,19,7,1,175.26,77.11,187.96,Orthodox,1982-04-07,2.36,48,2.76,54,1.06,40,87,0.4,Stephen Thompson,17,9,1,182.88,77.11,190.5,Orthodox,1983-02-11,4.05,46,3,54,0.23,35,63,0,
featherweight,0,Decision - Unanimous,3,300,3,Frankie Edgar,23,11,1,167.64,61.23,172.72,Orthodox,1981-10-16,3.77,40,2.82,65,2.29,31,65,0.3,Jeremy Stephens,28,20,0,175.26,70.31,180.34,Orthodox,1986-05-25,3.15,40,3.14,58,1.11,38,62,0.4,Frankie Edgar
women's strawweight,1,Decision - Unanimous,5,300,5,Joanna Jedrzejczyk,16,5,0,167.64,52.16,165.1,Orthodox,1987-08-18,6.28,48,3.25,62,0.27,62,80,0.1,Karolina Kowalkiewicz,16,9,0,160.02,52.16,162.56,Orthodox,1985-10-15,5.54,43,5.51,57,0.31,22,74,0.2,Joanna Jedrzejczyk
welterweight,0,KO/TKO,1,79,3,Vicente Luque,23,11,1,180.34,77.11,190.5,Orthodox,1991-11-27,5.02,51,5.25,52,0.97,51,61,0.7,Belal Muhammad,24,4,0,180.34,77.11,182.88,Orthodox,1988-07-09,4.46,43,3.78,55,2.24,38,90,0.1,Vicente Luque
middleweight,0,KO/TKO,1,202,3,Rafael Natal,21,9,1,182.88,83.91,195.58,Orthodox,1982-12-25,3.1,47,2.48,57,2.55,34,77,0.5,Tim Boetsch,21,13,0,182.88,83.91,187.96,Orthodox,1981-01-28,2.93,50,2.9,57,1.45,34,59,0.8,Tim Boetsch
catch weight,0,Decision - Unanimous,3,300,3,Jim Miller,38,19,0,172.72,70.31,180.34,Southpaw,1983-08-30,2.92,42,3.44,56,1.5,45,48,1.7,Thiago Alves,23,15,0,175.26,77.11,177.8,Orthodox,1983-10-03,3.73,41,3.42,62,0.71,60,63,0.3,Jim Miller
women's bantamweight,0,Decision - Split,3,300,3,Liz Carmouche,13,7,0,167.64,56.7,167.64,Orthodox,1984-02-19,2.78,54,2.51,61,2.57,51,65,0.3,Katlyn Cerminara,18,6,0,175.26,56.7,172.72,Orthodox,1988-12-28,4.58,34,4.48,62,0.31,15,50,0.3,Liz Carmouche
middleweight,0,KO/TKO,2,163,3,Vitor Belfort,26,14,0,182.88,83.91,187.96,Southpaw,1977-04-01,1.59,46,2.83,50,1.02,60,53,0.6,Gegard Mousasi,42,6,2,187.96,83.91,193.04,Orthodox,1985-08-01,3.75,50,1.21,68,1.59,60,59,1.1,Gegard Mousasi
lightweight,0,Submission,3,151,3,Khabib Nurmagomedov,29,0,0,177.8,70.31,177.8,Orthodox,1988-09-20,4.1,48,1.75,65,5.32,48,84,0.8,Michael Johnson,24,19,0,177.8,70.31,185.42,Southpaw,1986-06-04,4.23,39,3.8,58,0.61,40,81,0,Khabib Nurmagomedov
heavyweight,0,Submission,2,101,3,Stefan Struve,33,13,0,210.82,120.2,213.36,Orthodox,1988-02-18,3.12,47,4.04,46,0.56,46,55,1.7,Daniel Omielanczuk,19,8,1,182.88,112.04,187.96,Southpaw,1982-08-31,3.09,57,3.29,47,0.56,26,68,0.1,Stefan Struve
light heavyweight,0,KO/TKO,2,158,3,Ovince Saint Preux,27,18,0,190.5,92.99,203.2,Southpaw,1983-04-08,3.03,47,3.33,47,1.09,36,67,0.5,Jimi Manuwa,17,6,0,185.42,92.99,200.66,Orthodox,1980-02-18,3.43,54,3.97,49,0.53,18,70,0.4,Jimi Manuwa
